pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0579.ply,-1.0,-1.0,62.56995404204023,,,,,,2.68926,1.69766,2.19346,56.8775,261.0,,,,,,29.544,43.0011,43.1685,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0768.ply,-1.0,-1.0,60.33648580660512,,,,,,2.59489,1.73069,2.16279,56.6484,386.0,,,,,,29.9868,43.2654,43.4136,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0632.ply,-1.0,-1.0,62.60851537807698,,,,,,2.65321,1.68132,2.16726,56.9388,356.0,,,,,,29.8966,43.207,43.4308,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0705.ply,-1.0,-1.0,61.30170657533438,,,,,,2.60515,1.63937,2.12226,56.9339,379.0,,,,,,29.7634,42.9754,43.3058,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0678.ply,-1.0,-1.0,62.77432649617388,,,,,,2.67211,1.7151,2.19361,56.777,278.0,,,,,,29.8626,43.2506,43.5765,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0615.ply,-1.0,-1.0,62.506790301746236,,,,,,2.64829,1.67352,2.16091,56.9459,204.0,,,,,,29.6793,43.0868,43.3127,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0722.ply,-1.0,-1.0,60.77554608481043,,,,,,2.57385,1.65682,2.11533,56.7877,305.0,,,,,,29.6527,43.1309,43.2987,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0730.ply,-1.0,-1.0,60.894696128140545,,,,,,2.55789,1.66292,2.11041,56.7655,98.0,,,,,,29.5935,42.9352,43.4522,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0607.ply,-1.0,-1.0,62.60621451624302,,,,,,2.68168,1.66542,2.17355,56.9219,382.0,,,,,,29.5363,42.9003,43.0158,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0779.ply,-1.0,-1.0,60.78883610625169,,,,,,2.65059,1.68939,2.16999,56.6052,237.0,,,,,,29.9893,43.4542,43.626,
